model_name,tags,model_price,Input,Output
gemini-flash-lite-latest-thinking,,0,0.1,0.4
gemini-flash-lite-latest-thinking-*,,0,0.1,0.4
gemini-pro-latest,"Chat,Vision,thinking",0,1.25,10
gemini-pro-latest-thinking,,0,1.25,10
gemini-pro-latest-thinking-*,,0,1.25,10
gemma-2b-it,Chat,0,2,2
gemma-7b-it,Chat,0,2,2
glm-3-turbo,Chat,0,1.5,1.5
glm-4,Chat,0,0.3,1.2
glm-4-air,Chat,0,0.3,0.3
glm-4-airx,Chat,0,0.3,1.2
glm-4-flash,Chat,0,0.3,1.2
glm-4-long,Chat,0,0.3,1.2
glm-4.5,"Tools, Chat, Thinking",0,1.6,6.4
glm-4.5-air,"Chat,Thinking",0,1,4
glm-4.5-airx,"Chat,Thinking",0,4,16
glm-4.5-flash,"Chat,Thinking",0,0.02,0.08
glm-4.5-x,"Chat,Thinking",0,1.6,6.4
glm-4.6,Chat,0,2,8
glm-4.6-thinking,"Chat,Thinking",0,2,8
glm-4.6v,,0,1,3
google/imagen-4,"Image Generation,Async",0.2,0,0
google/imagen-4-fast,"Image Generation,Async",0.1,0,0
google/imagen-4-ultra,"Image Generation,Async",0.3,0,0
gpt-4,Chat,0,30,60
gpt-4-0125-preview,"Chat, deprecated",0,10,20
gpt-4-0613,Chat,0,30,60
gpt-4-1106-preview,"Chat, deprecated",0,10,20
gpt-4-32K-0613,,0,75,150
gpt-4-32k,Chat,0,60,120
gpt-4-32k-0613,Chat,0,60,120
gpt-4-all,"Multimodal, networking, Chat",0,24,48
gpt-4-gizmo-*,Chat,0.1,0,0
gpt-4-turbo,Chat,0,10,30
gpt-4-turbo-2024-04-09,Chat,0,10,30
gpt-4-turbo-preview,Chat,0,10,30
gpt-4-vision-preview,"Vision,deprecated",0,10,20
gpt-4.1,"Tools, Chat, Vision",0,2,8
gpt-4.1-2025-04-14,"Chat,Vision",0,2,8
gpt-4.1-mini,"Tools, Chat, Vision",0,0.4,1.6
gpt-4.1-mini-2025-04-14,"Chat,Vision",0,0.4,1.6
gpt-4.1-nano,"Tools, Chat, Vision",0,0.1,0.4
gpt-4.1-nano-2025-04-14,"Chat,Vision",0,0.1,0.4
gpt-4.5-preview,"Chat,Vision",0,75,150
gpt-4.5-preview-2025-02-27,"Chat,Vision",0,75,150
gpt-4o,"Chat,Vision",0,2.5,10
gpt-4o-2024-05-13,"Chat,Vision",0,5,15
gpt-4o-2024-08-06,"Chat,Vision",0,2.5,10
gpt-4o-2024-11-20,"Chat,Vision",0,2.5,10
gpt-4o-all,"Chat, networking, multimodality",0,5,20
gpt-4o-audio-preview,"Chat,audio",0,2.5,10
gpt-4o-audio-preview-2024-10-01,"Chat,audio",0,2.5,10
gpt-4o-audio-preview-2024-12-17,"Chat,audio",0,2.48,9.92
gpt-4o-audio-preview-2025-06-03,"Chat,audio",0,2.5,10
gpt-4o-image-vip,"Image Generation,Chat",0.12,0,0
gpt-4o-mini,"Chat,Vision",0,0.15,0.6
gpt-4o-mini-2024-07-18,"Chat,Vision",0,0.15,0.6
gpt-4o-mini-audio-preview,Audio,0,0.15,0.6
gpt-4o-mini-audio-preview-2024-12-17,Audio,0,0.15,0.6
gpt-4o-mini-realtime-preview,real time voice,0,0.6,2.4
gpt-4o-mini-realtime-preview-2024-12-17,real time voice,0,0.6,2.4
gpt-4o-mini-search-preview,"Chat, Networking",0,0.14,0.56
gpt-4o-mini-search-preview-2025-03-11,"Chat, Networking",0,0.14,0.56
gpt-4o-mini-transcribe,Speech to Text,0,1.5,6
gpt-4o-mini-tts,text to speech,0,12,48
gpt-4o-realtime-preview,real time voice,0,5,20
gpt-4o-realtime-preview-2024-10-01,real time voice,0,5,20
gpt-4o-realtime-preview-2024-12-17,,0,5,20
gpt-4o-realtime-preview-2025-06-03,real time voice,0,5,20
gpt-4o-search-preview,"Chat, networking",0,2.5,10
gpt-4o-search-preview-2025-03-11,"Chat, networking",0,2.5,10
gpt-4o-transcribe,Speech to Text,0,2.5,10
gpt-5-chat,,0,75,600
gpt-5-chat-2025-08-07,,0,75,600
gpt-5-pro-2025-10-06,,0,15,120
gpt-5.1-2025-11-13,,0,1.25,10
gpt-5.1-chat,Chat,0,1.25,10
gpt-5.1-chat-2025-11-13,,0,1.25,10
gpt-5.1-chat-latest,,0,75,600
gpt-5.1-codex,Chat,0,1.25,10
gpt-5.1-codex-high,Chat,0,1.25,10
gpt-5.1-codex-max,,0,1.25,10
gpt-5.1-codex-medium,Chat,0,1.25,10
gpt-5.1-codex-mini,Chat,0,1.5,12
gpt-5.1-codex-mini-2025-11-13,,0,0.25,2
gpt-5.1-high,Chat,0,1.25,10
gpt-5.1-low,Chat,0,1.25,10
gpt-5.1-medium,Chat,0,1.25,10
gpt-5.2-2025-12-11,"Chat,Vision",0,1.75,14
gpt-5.2-chat,,0,1.75,14
gpt-5.2-chat-2025-12-11,,0,75,600
gpt-5.2-chat-latest,Chat,0,1.75,14
gpt-5.2-codex,Chat,0,1.25,10
gpt-5.2-pro-2025-12-11,"Chat,Thinking",0,21,168
gpt-audio-2025-08-28,Audio,0,2.5,5
gpt-image-1,Image Generation,0,5,40
gpt-image-1-all,Image Generation,0.08,0,0
gpt-oss-120b,Chat,0,1.1,4.4
gpt-oss-20b,Chat,0,0.2,0.8
gpt-realtime-2025-08-28,real time voice,0,4,16
grok-3,Chat,0,3,15
grok-3-deepsearch,"Chat, Thinking, Networking",0,2,10
grok-3-image,Image Generation,0.05,0,0
grok-3-mini,Chat,0,0.3,0.501
grok-3-reasoner,"Chat,Thinking",0,2,10
grok-3-reasoning,"Chat,Thinking",0,2,10
grok-4,"Chat,Vision",0,3,15
grok-4-0709,"Chat,Vision",0,3,15
grok-4-1-fast-non-reasoning,Chat,0,0.2,0.5
grok-4-1-fast-reasoning,Chat,0,0.2,0.5
grok-4-fast,"Chat, Vision, Networking",0,0.2,0.5
grok-4-fast-non-reasoning,"Tools, Multimodal, Chat",0,0.2,0.5
grok-4-fast-reasoning,"Chat,Thinking",0,0.2,0.5
grok-4-image,Image Generation,0.08,0,0
grok-4.1-fast,Chat,0,0.4,3
grok-video-3,,0.2,0,0
ideogram-ai/ideogram-v2-turbo,"Image Generation,Async",0.25,0,0
ideogram_describe,Image Generation,0.06,0,0
ideogram_edit_V_3_DEFAULT,Image Generation,0.3,0,0
ideogram_edit_V_3_QUALITY,Image Generation,0.45,0,0
ideogram_edit_V_3_TURBO,Image Generation,0.15,0,0
ideogram_generate_V_1,Image Generation,0.45,0,0
ideogram_generate_V_1_TURBO,Image Generation,0.12,0,0
ideogram_generate_V_2,Image Generation,0.5,0,0
ideogram_generate_V_2_TURBO,Image Generation,0.3,0,0
ideogram_generate_V_3_DEFAULT,Image Generation,0.3,0,0
ideogram_generate_V_3_QUALITY,Image Generation,0.45,0,0
ideogram_generate_V_3_TURBO,Image Generation,0.15,0,0
ideogram_reframe_V_3_DEFAULT,Image Generation,0.3,0,0
ideogram_reframe_V_3_QUALITY,Image Generation,0.45,0,0
ideogram_reframe_V_3_TURBO,Image Generation,0.15,0,0
ideogram_remix_V_1,Image Generation,0.45,0,0
ideogram_remix_V_1_TURBO,Image Generation,0.12,0,0
